College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
IIT Madras - Indian Institute of Technology - [IITM],Chennai,Tamil Nadu,['AICTE'],4.6019505494505495,4.23136171278626,https://images.collegedunia.com/public/college_data/images/logos/1434977143jpjpjpjpj.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1509430807cover.jpg,75116,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '201', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '639', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '250', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Wi-FI Campus']",2,Government,Full Time,4
IIT Delhi - Indian Institute of Technology [IITD],New Delhi,Delhi,[],4.600467568832266,4.229985606324616,https://images.collegedunia.com/public/college_data/images/logos/col27802.gif,https://images.collegedunia.com/public/college_data/images/appImage/25455_IITDelhi_New.jpg,220300,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '672', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '401', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '174', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Swimming Pool', 'Security', 'Wi-FI Campus', 'Banks', 'e-classroom']",4,Government,Full Time,4
Woxsen University,Hyderabad,Telangana,"['COA', 'AICTE', 'NBA', 'AACSB', 'AMBA']",4.598984180801726,4.228613942585666,https://images.collegedunia.com/public/college_data/images/logos/1628340461logonew1.png,https://images.collegedunia.com/public/college_data/images/appImage/1628340683slide33.jpg,372500,[],[],viteee,"['Library', 'Classrooms', 'Sports', 'Hostel', 'Medical', 'Laboratory', 'Transport', 'Cafeteria', 'Wi-FI Campus']",4,Government,Part Time,4
IIT Bombay - Indian Institute of Technology - [IITB],Mumbai,Maharashtra,"['AICTE', 'UGC']",4.598984180801725,4.229622676827695,https://images.collegedunia.com/public/college_data/images/logos/1431953162ccgsygdygw.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25703_IIT_New.jpg,228000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '2', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '10', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '572', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '401', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '172', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Security', 'Wi-FI Campus', 'e-classroom', 'Banks']",4,Government,Full Time,4
New Horizon College of Engineering - [NHCE],Bangalore,Karnataka,"['AICTE', 'UGC', 'NBA']",4.597500792771185,4.228253312008236,https://images.collegedunia.com/public/college_data/images/logos/16578008757205672416677544600223573286884307796230144n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14483_1444286530NHCE_NEW.jpg,250000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '121', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}]","[{'year': '2020', 'agencyId': '38', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",kcet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Transport', 'Security']",4,Government,Part Time,4
IIT Kharagpur - Indian Institute of Technology - [IITKGP],Kharagpur,West Bengal,"['AICTE', 'UGC']",4.596978271703558,4.227722764134192,https://images.collegedunia.com/public/college_data/images/logos/1489041138e2.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg,90092,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '201', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '401', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '270', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '733', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Auditorium', 'Hostel', 'Classrooms', 'Library', 'Banks', 'Swimming Pool', 'Wi-FI Campus', 'Communication Centre', 'Transport']",2,Government,Full Time,4
Parul University,Vadodara,Gujarat,"['COA', 'PCI', 'INC', 'GNC', 'MCI']",4.595494332750443,4.2263553315874685,https://images.collegedunia.com/public/college_data/images/logos/1619719076logo7.png,https://images.collegedunia.com/public/college_data/images/appImage/1599193361PuCampus.jpg,86000,"[{'year': '2019', 'agencyId': '14', 'rankingOfCollege': '99', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]","[{'year': '2021', 'agencyId': '17', 'rankingOfCollege': '44', 'rankingOutOfTotalNoOfCollege': '146', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '40', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '14', 'rankingOfCollege': '62', 'rankingOutOfTotalNoOfCollege': '101', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",,"['Library', 'Transport', 'Wi-FI Campus', 'Banks', 'Laboratory', 'Classrooms', 'Medical', 'Security', 'Swimming Pool', 'Hostel', 'Sports', 'Comp Labs', 'Gym']",2,Government,Part Time,4
IIT Kanpur - Indian Institute of Technology - [IITK],Kanpur,Uttar Pradesh,['UGC'],4.595383235341145,4.226115301847867,https://images.collegedunia.com/public/college_data/images/logos/1408554560logo.png,https://images.collegedunia.com/public/college_data/images/appImage/25948_IITK_New.jpg,242900,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '22', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '4', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '840', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '264', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",4,Government,Full Time,4
IIT Roorkee - Indian Institute of Technology - [IITR],Roorkee,Uttarakhand,"['AICTE', 'UGC']",4.593898858311576,4.224749871337811,https://images.collegedunia.com/public/college_data/images/logos/1431775682rajiv.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25992_IITR_New.jpg,213500,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '301', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2019', 'agencyId': '10', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'ARWU'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '801', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '501', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '369', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Banks', 'Security', 'Classrooms']",4,Government,Full Time,4
BITS Pilani (Pilani Campus),Pilani,Rajasthan,['UGC'],4.59244153858027,4.223386500601012,https://images.collegedunia.com/public/college_data/images/logos/1589790676112018648848892482726766654702028085722509n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25800_BITS_App.jpg,541575,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '29', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '1', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '3', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '14', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '196', 'agency': 'TOI'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '32', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '2', 'rankingOfCollege': '801', 'rankingOutOfTotalNoOfCollege': '1201', 'agency': 'THE'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '5', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '1254', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '1001', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",bitsat,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Security']",4,Private,Full Time,4
IIT Guwahati - Indian Institute of Technology - [IITG],Guwahati,Assam,"['AICTE', 'UGC']",4.590983818596359,4.222025190128827,https://images.collegedunia.com/public/college_data/images/logos/1394864902Indian Institute of Technology - IIT Guwahati.png,https://images.collegedunia.com/public/college_data/images/appImage/1620192479desk.png,219350,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '32', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '501', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '7', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '994', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '1000', 'agency': 'THE'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '384', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",4,Government,Full Time,4
IIT Hyderabad - Indian Institute of Technology - [IITH],Hyderabad,Telangana,['UGC'],4.589525698249915,4.220666035832579,https://images.collegedunia.com/public/college_data/images/logos/166089612015088476701200pxIndianInstituteofTechnologyHyderabadlogo.png,https://images.collegedunia.com/public/college_data/images/appImage/1485941210cvr1.png,236500,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '51', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2021', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '1001', 'agency': 'THE'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '987', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '581', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",4,Government,Full Time,4
"College of Engineering, Anna University - [CEG]",Chennai,Tamil Nadu,['AICTE'],4.588122107395273,4.219354508169372,https://images.collegedunia.com/public/college_data/images/logos/13941065084.png,https://images.collegedunia.com/public/college_data/images/appImage/28261_COEANNA_APP.jpg,31060,"[{'year': '2019', 'agencyId': '13', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '12', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}]","[{'year': '2019', 'agencyId': '13', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '12', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}]",tnea,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Classrooms', 'Banks', 'e-classroom', 'Transport', 'Wi-FI Campus']",1,Government,Full Time,4
NIT Trichy,Tiruchirappalli,Tamil Nadu,"['AICTE', 'UGC', 'MHRD']",4.586745596026802,4.218081026420366,https://images.collegedunia.com/public/college_data/images/logos/1593757072download.png,https://images.collegedunia.com/public/college_data/images/appImage/1575529948nitt.jpeg,168250,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '17', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '30', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '2', 'rankingOfCollege': '601', 'rankingOutOfTotalNoOfCollege': '800', 'agency': 'THE'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '21', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '2', 'rankingOfCollege': '1001', 'rankingOutOfTotalNoOfCollege': '1201', 'agency': 'THE'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '48', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '18', 'rankingOfCollege': '17', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'Financial Express'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '1335', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '801', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee main,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Transport']",3,Government,Full Time,4
IIT BHU - Indian Institute of Technology,Varanasi,Uttar Pradesh,['UGC'],4.585423636564023,4.216850396894226,https://images.collegedunia.com/public/college_data/images/logos/1409982980bhu logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/150936663225947IITBHUNew.jpg,134231,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '13', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '9', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '29', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '33', 'rankingOfCollege': '8', 'rankingOutOfTotalNoOfCollege': '34', 'agency': 'The Week'}, {'year': '2021', 'agencyId': '1', 'rankingOfCollege': '1187', 'rankingOutOfTotalNoOfCollege': '1467', 'agency': 'US News'}, {'year': '2023', 'agencyId': '8', 'rankingOfCollege': '651', 'rankingOutOfTotalNoOfCollege': '1400', 'agency': 'QS'}]",jee advanced,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms']",3,Government,Full Time,4
